163,Aaliyah,59.72,24.44,50.41,11.90,8.46,1405.62
780,Aaniyah,59.32,16.08,78.82,97.67,23.29,800.81
649,Aarya,30.13,50.36,1.27,0.03,0.03,1516.35
931,Abigail,36.74,49.14,81.13,38.59,31.74,1717.34
136,Ada,44.38,28.94,5.16,37.08,33.88,1276.27
731,Adalee,26.29,36.88,34.74,86.09,87.01,935.83
509,Adaleigh,45.94,32.16,9.25,69.83,80.08,1478.56
275,Adalind,37.69,32.32,39.83,25.39,22.04,1174.93
346,Adaline,22.75,11.63,7.40,84.44,38.72,211.57
592,Adalyn,27.08,26.58,87.76,61.43,13.99,584.65
616,Adalynn,31.18,11.35,49.82,0.63,35.62,339.09
84,Addalyn,43.95,15.67,54.62,11.56,86.13,708.81
968,Addison,34.76,37.04,3.70,93.73,32.63,1222.76
973,Addisyn,39.38,30.85,70.60,72.62,86.65,1158.29
427,Adelaide,44.50,27.88,15.59,66.82,32.23,1190.54
860,Adelia,48.40,34.82,94.50,90.92,17.18,1517.33
93,Adella,40.65,21.64,8.96,76.94,76.01,869.67
975,Adelyn,39.10,38.46,37.97,2.07,84.63,1548.17
980,Adelynn,55.86,17.13,82.16,70.01,82.37,887.22
475,Adilene,47.89,12.71,89.66,50.01,92.35,561.47
685,Adilynn,55.20,13.77,75.29,68.34,97.89,714.56
944,Adira,30.13,52.52,26.67,65.70,57.18,1547.37
5,Adley,39.99,34.64,67.82,86.12,85.21,1316.66
733,Adriana,36.99,12.41,56.41,88.13,73.21,387.54
359,Adrianna,31.37,40.42,0.86,4.14,88.86,1351.99
96,Adrienne,48.88,20.55,75.96,42.17,78.05,964.34
745,Aila,35.49,35.98,41.06,42.14,38.25,1232.23
933,Ailani,55.50,38.58,50.00,9.64,27.32,2108.87
86,Ainsley,32.27,55.83,97.82,67.65,30.60,1666.86
501,Aislinn,35.02,14.89,54.95,30.00,21.75,458.15
790,Aislynn,30.25,44.40,89.29,82.05,69.38,1241.02
343,Aitana,52.37,47.50,56.76,3.35,72.48,2499.73
890,Aiyana,26.62,36.57,25.28,29.68,97.77,1016.23
588,Alaia,20.73,34.02,55.98,43.78,92.80,698.11
909,Alana,51.09,23.94,45.30,32.99,22.56,1167.49
960,Alani,46.21,14.71,49.00,20.96,43.33,653.01
521,Alanna,23.51,49.75,62.28,76.16,18.91,1050.29
79,Alaya,52.76,38.76,27.69,45.96,4.81,1976.35
740,Alayah,45.64,15.94,69.31,10.76,70.54,718.17
377,Alayna,33.00,52.38,30.03,29.46,91.01,1760.10
753,Aleigha,38.12,13.65,38.10,36.22,0.60,446.74
360,Alejandra,28.38,16.94,76.75,28.25,27.20,402.98
170,Alena,51.01,47.76,17.85,51.19,94.41,2461.36
354,Alexa,30.42,51.96,24.23,26.63,94.14,1623.71
547,Alexandria,46.42,59.97,76.80,80.52,53.04,2679.56
129,Aleyah,47.51,44.29,91.31,98.86,24.88,1939.07
452,Alia,30.11,12.19,69.65,57.04,66.36,306.63
408,Aliana,40.50,46.47,57.65,15.88,6.79,1815.44
770,Alianna,46.06,32.52,62.23,96.12,15.74,1355.48
579,Alice,38.97,43.12,87.70,79.02,63.45,1577.06
149,Alina,41.53,39.06,27.46,68.43,79.35,1605.49
877,Alisa,24.16,41.88,46.83,16.68,19.93,968.04
651,Alisha,39.00,39.16,33.60,25.55,92.24,1560.55
122,Alison,34.81,41.31,11.55,71.95,65.27,1419.83
527,Alisson,42.66,52.86,2.30,35.52,90.46,2307.94
948,Alivia,38.92,52.67,77.36,30.08,79.70,2022.13
555,Aliya,42.86,58.88,20.28,11.37,88.95,2580.70
59,Aliyah,28.35,21.25,36.99,65.41,29.90,529.97
657,Aliyana,42.17,45.47,45.85,68.36,18.13,1821.26
727,Aliza,32.24,58.30,38.23,71.87,32.15,1801.73
755,Allie,59.93,19.14,13.90,86.85,74.04,1120.49
668,Allison,51.37,14.62,4.10,50.34,61.61,758.23
885,Althea,59.34,18.59,90.22,45.72,22.81,990.19
913,Alyson,34.31,20.81,75.58,84.02,65.98,620.19
766,Alyssa,44.04,13.09,20.28,2.71,91.47,645.09
899,Alyvia,32.81,55.02,9.12,31.89,15.00,1779.04
95,Amaia,24.44,40.43,3.67,70.57,87.58,1001.43
469,Amalia,51.01,10.44,66.62,20.69,71.71,517.11
872,Amanda,35.57,27.80,64.99,71.13,52.02,904.84
269,Amani,22.79,29.25,61.98,67.83,93.56,630.32
495,Amara,47.08,35.09,30.01,60.14,14.89,1576.67
234,Amaria,48.37,41.32,76.50,21.45,2.32,1903.15
235,Amaris,43.86,53.82,0.11,24.55,9.81,2345.79
796,Amaya,37.36,43.99,23.56,69.57,14.41,1564.79
222,Amelia,53.37,47.53,91.59,5.41,73.07,2512.72
886,Amelie,26.78,46.41,81.90,72.57,72.43,1160.55
159,America,44.57,31.94,24.20,3.08,68.62,1464.74
816,Amethyst,38.27,28.92,89.59,44.59,85.82,1058.44
320,Amia,21.58,38.20,5.13,66.20,9.52,762.40
842,Amiah,20.50,27.98,7.07,41.69,12.34,537.09
583,Amina,23.44,29.64,23.70,81.78,17.07,606.30
324,Aminah,24.28,53.76,72.02,48.66,65.30,1250.23
972,Amiracle,52.15,16.75,75.80,82.08,11.27,726.87
437,Amiyah,41.80,51.55,94.47,0.19,43.37,2103.55
329,Amora,38.82,34.87,55.95,11.10,20.03,1306.77
42,Amy,36.28,48.64,85.99,82.93,58.97,1654.51
554,Ana,37.06,33.03,90.13,84.42,68.26,1117.56
312,Anabella,57.42,17.51,40.42,96.79,96.17,964.03
568,Anabelle,21.33,44.39,96.18,69.59,95.20,876.40
805,Anais,56.61,24.30,6.13,87.31,80.85,1362.88
465,Analia,46.46,41.69,86.09,83.43,36.98,1804.12
172,Analiah,44.44,21.16,27.81,46.83,69.14,934.76
698,Analise,41.66,47.51,58.25,21.03,50.84,1950.67
233,Anastasia,32.68,23.52,36.82,5.43,49.71,775.94
560,Anaya,56.03,30.90,11.32,65.18,86.92,1741.74
294,Anayah,21.82,44.19,72.40,39.56,31.80,883.88
581,Andi,55.02,54.27,20.07,90.79,82.60,2957.47
36,Andie,36.81,18.40,86.43,17.67,58.79,631.89
349,Andrea,56.94,31.62,82.93,3.80,72.59,1786.48
203,Angel,49.98,14.89,33.99,86.14,93.42,717.22
964,Angela,59.16,25.94,55.79,44.89,78.56,1512.54
545,Angelina,21.12,55.84,87.76,30.84,20.04,1080.83
165,Ania,47.06,18.50,20.96,44.28,82.80,887.98
864,Anika,24.92,40.07,89.91,47.56,41.24,902.49
669,Aniyah,31.47,12.56,51.04,79.41,48.74,313.50
483,Anja,58.89,42.12,1.90,96.79,71.05,2453.17
722,Annabelle,44.90,19.11,98.13,94.39,55.11,720.49
426,Annalee,26.30,55.94,37.89,44.96,57.49,1445.97
69,Annaliese,43.51,28.96,11.45,19.99,98.08,1326.57
607,Annalise,21.11,24.47,20.46,64.56,33.23,464.72
904,Annelise,30.88,40.69,28.43,80.20,10.08,1157.82
368,Annie,33.92,31.34,10.81,14.57,38.55,1076.20
935,Annika,51.39,51.99,25.12,12.77,19.09,2653.25
763,Ansley,58.45,33.33,80.11,10.05,29.33,1887.43
401,Anya,45.62,55.49,46.24,6.50,94.20,2572.70
628,Arabella,45.34,13.79,28.59,5.19,9.34,600.73
819,Araceli,39.23,39.69,60.23,21.52,42.35,1517.46
976,Aranza,22.12,13.11,61.02,61.06,11.50,179.46
10,Areli,34.51,52.47,80.61,32.42,97.91,1795.43
300,Arella,30.93,52.70,78.45,7.81,7.08,1551.06
811,Arely,50.23,31.19,29.53,6.36,20.68,1551.46
781,Ari,53.87,11.81,44.27,13.52,13.62,591.89
230,Aria,56.11,36.03,25.23,28.59,31.63,1999.43
716,Ariadna,37.35,51.19,40.36,64.57,68.75,1875.74
575,Ariadne,47.49,20.71,34.43,91.92,34.24,891.42
956,Ariah,46.36,21.66,19.98,48.35,65.01,1000.84
341,Ariana,52.97,13.10,51.72,78.10,86.48,650.47
862,Arianna,51.42,50.02,88.26,16.34,46.67,2514.15
67,Ariel,28.86,44.01,27.09,61.36,51.35,1233.02
52,Ariella,29.54,28.55,60.01,7.73,34.85,810.54
851,Arielle,41.70,13.22,18.30,43.91,28.32,517.32
609,Ariya,23.87,53.24,81.97,1.50,1.67,1189.22
492,Ariyana,35.54,50.79,72.26,6.52,98.41,1824.75
432,Arlette,37.57,43.73,46.79,38.22,41.27,1599.06
897,Armani,26.08,38.23,98.78,94.99,70.22,873.55
673,Arya,54.29,38.57,48.95,12.56,94.86,2127.37
347,Ashlyn,48.27,57.56,32.17,34.85,87.92,2799.49
880,Aspen,59.16,59.69,6.98,93.81,64.77,3495.22
761,Aspyn,32.89,15.11,15.39,49.19,36.42,468.70
720,Astrid,45.13,55.83,93.66,63.42,82.95,2445.86
567,Athena,28.90,40.85,70.91,50.19,98.49,1157.94
155,Aubree,58.63,24.96,66.02,34.94,23.37,1386.07
815,Aubrey,32.04,57.96,36.40,57.39,23.11,1786.14
459,Aubriella,23.16,18.07,29.02,16.03,19.67,393.16
831,Aubry,33.84,39.63,87.43,21.80,45.63,1277.48
742,Aubryn,54.66,39.88,55.44,60.03,25.99,2090.22
597,Aurelia,40.51,51.42,36.52,0.16,84.78,2130.97
232,Aurora,21.28,52.94,26.59,5.62,29.98,1124.31
640,Austyn,42.25,46.02,11.09,2.76,10.93,1941.51
92,Autumn,24.02,27.67,61.19,57.97,78.16,623.64
355,Avah,31.75,49.88,14.55,91.90,92.67,1569.80
265,Avalee,26.15,38.62,21.28,6.34,85.28,1067.74
425,Avalynn,27.40,57.98,12.54,63.80,31.47,1543.44
175,Averie,38.85,30.64,44.94,45.08,82.86,1183.24
479,Avery,45.96,26.29,64.56,8.86,31.06,1166.06
600,Avi,31.00,17.97,89.33,23.67,45.34,489.42
317,Aviana,39.91,12.97,90.68,13.25,15.17,428.86
156,Avianna,41.01,50.86,28.81,88.63,56.81,2025.05
319,Aviva,27.76,24.59,33.59,59.42,36.49,626.00
214,Aya,59.15,36.08,28.86,28.70,20.92,2097.43
140,Ayana,34.51,15.12,71.25,14.00,9.88,446.58
809,Ayla,25.28,47.15,71.68,89.08,49.03,1080.43
807,Ayleen,38.08,27.66,61.86,16.62,90.12,1064.80
242,Azalea,32.26,38.14,64.11,63.92,74.29,1176.61
986,Azariah,42.57,25.63,74.46,94.74,77.15,998.91
850,Azeneth,27.90,44.09,20.68,38.05,71.98,1243.17
580,Barbara,56.43,39.34,64.72,87.14,80.91,2149.39
542,Baylee,26.38,34.05,17.06,74.12,88.87,896.04
506,Beatriz,21.72,27.66,89.14,71.48,44.37,484.49
878,Belen,58.31,23.70,47.75,47.52,28.27,1314.60
9,Bella,29.66,50.64,29.82,30.13,98.02,1539.73
544,Bellamy,23.46,59.25,3.62,12.16,46.64,1420.91
404,Belle,28.87,35.61,22.85,23.09,62.25,1044.31
925,Berkley,59.95,53.33,29.05,73.28,30.16,3125.18
993,Bexleigh,38.56,22.93,72.13,40.52,60.41,831.77
613,Bexley,43.65,29.14,62.23,30.93,26.34,1205.06
238,Bianca,47.82,36.73,86.23,76.59,77.52,1671.35
655,Blair,52.00,22.46,96.53,98.90,6.07,978.46
663,Blake,49.37,55.57,43.25,85.02,20.59,2635.82
376,Blakely,27.81,43.15,76.17,26.97,85.70,1182.70
91,Bonnie,40.26,15.49,98.24,48.39,27.17,504.01
439,Braelyn,52.60,51.93,53.21,26.58,28.44,2680.34
369,Braylee,35.97,47.14,49.61,38.34,5.92,1613.32
417,Bree,50.24,10.12,50.35,76.43,42.60,423.98
723,Brenda,26.31,41.29,36.48,11.41,59.19,1097.56
310,Brenna,54.43,48.59,75.60,58.21,30.17,2540.96
826,Bri,59.00,31.67,90.63,91.95,9.22,1695.26
912,Bria,44.89,10.49,24.13,14.01,51.45,484.34
845,Brianna,52.31,27.44,22.96,21.66,96.63,1487.32
177,Bridget,30.27,26.35,42.18,62.31,65.47,758.57
468,Bridie,26.72,55.72,3.01,8.29,78.49,1555.77
245,Briella,50.18,11.61,97.52,59.59,22.24,447.92
696,Brielle,20.44,48.45,70.21,54.71,17.38,882.84
556,Brinley,25.07,48.78,44.14,52.93,22.41,1148.31
110,Briseis,35.38,50.66,22.40,87.74,74.16,1756.18
684,Bristol,32.99,47.55,21.41,24.80,44.74,1567.02
539,Brittany,51.65,17.85,94.23,92.59,57.94,793.15
566,Brooke,54.03,41.61,77.16,46.85,53.45,2178.09
788,Brooklynn,52.36,52.06,63.54,1.78,12.31,2672.91
423,Bryn,22.38,12.84,90.43,42.66,74.25,228.40
440,Brynlee,54.42,49.77,3.13,32.21,10.98,2684.01
218,Brynn,22.38,31.44,58.28,84.56,53.47,614.41
457,Cadence,59.75,59.27,86.02,13.34,79.68,3521.69
635,Cali,40.52,54.50,47.72,63.30,50.64,2147.94
99,Calista,52.89,25.04,76.08,32.28,62.86,1278.54
789,Calla,37.58,41.28,50.74,14.52,11.03,1497.09
830,Callan,53.96,36.47,54.38,58.92,52.59,1907.44
182,Callie,53.19,46.14,18.97,75.97,88.35,2447.84
644,Cambria,48.14,26.25,67.78,18.00,75.88,1253.89
941,Cambrie,40.70,57.78,38.50,24.71,85.53,2374.40
394,Camila,33.27,34.69,24.99,93.57,57.53,1093.13
524,Camilla,40.69,11.66,93.26,52.44,4.82,333.56
817,Camille,21.07,56.43,58.70,40.79,22.51,1112.20
785,Carleigh,53.70,53.26,20.67,8.70,94.32,2924.80
388,Carmen,57.38,33.85,95.09,38.01,17.00,1826.43
143,Carol,21.66,59.41,30.63,6.16,29.20,1279.19
219,Carolina,57.13,53.77,2.83,63.37,30.25,3035.78
191,Caroline,49.93,46.32,13.08,86.94,1.14,2213.62
558,Carter,54.77,24.35,30.69,23.77,66.00,1345.17
741,Cassidy,31.97,17.68,1.02,87.48,47.18,524.05
47,Cassie,37.52,47.62,59.00,27.75,18.20,1717.75
385,Cataleya,23.42,32.91,52.71,21.79,89.11,785.30
201,Catalina,48.73,17.35,75.07,46.44,28.58,752.49
586,Catherine,26.58,57.27,92.25,96.99,87.23,1420.33
261,Caylee,41.12,59.71,90.77,58.43,6.31,2312.09
719,Cayleigh,56.69,21.01,9.73,8.51,12.50,1185.40
